Skill,Output
Language use,"Learning objective: ""My goal is to enhance my language use by using precise, clear, and professional language, including the appropriate use of scientific terminology, in my written assignments and class discussions in order to effectively communicate complex ideas to my audience.""

Action plan: I will achieve this by first identifying key scientific terminology relevant to the course material and incorporating it into my assignments and class discussions. I will also practice writing concise sentences and actively eliminating filler words to ensure the clarity and professionalism of my language use. In addition, I will seek feedback from my peers and instructors on my language use to track my progress and make necessary adjustments."
Hand gestures,"Learning objective: ""My goal is to effectively use hand gestures during my presentations to enhance the delivery of my message. I aim to incorporate hand gestures that align with the content I am discussing and help emphasize key points throughout the presentation.""

Action plan: To achieve this goal, I will first analyze the content of my presentation to identify key points that would benefit from the use of hand gestures. I will then practice incorporating appropriate hand gestures during rehearsals of my presentation. Additionally, I will record myself giving the presentation and review the footage to assess the effectiveness of the hand gestures in enhancing the message delivery. Feedback from peers and instructors will also be sought to further refine and improve my use of hand gestures. Through consistent practice and feedback, I aim to confidently utilize hand gestures that reinforce the spoken message and engage the audience effectively."
Time management and speaking pace,"Learning objective: ""My goal is to effectively manage my time and speaking pace during my presentation to ensure that I cover all important points within the allotted time frame and maintain the audience's engagement.""

Action plan: ""I will achieve this by creating a detailed outline of my presentation that includes estimated time allocations for each section. I will practice my presentation multiple times, focusing on my speaking pace and timing each run-through. I will also use a timer during practice sessions to ensure I stay within the time limits. Additionally, I will seek feedback from peers or instructors on my pacing and make adjustments as needed."""
Time management and speaking pace,"Learning objective: My goal is to improve my time management skills and speaking pace during my presentations by ensuring that I effectively deliver my key points within the allocated time frame without rushing or dragging.

Action plan: I will achieve this by practicing my presentations with a timer to stay within the time limit set. Additionally, I will focus on speaking clearly and at a moderate pace, allowing for pauses for emphasis and to ensure understanding. I will also seek feedback from peers and instructors to gauge if I am maintaining a suitable speaking pace and effectively managing my time during presentations."
Language use,"Learning objective: My goal is to enhance my language use by effectively utilizing precise, clear, and professional language, including the appropriate use of scientific terminology, in all written assignments and class discussions during the course.

Action plan: I will achieve this by reviewing and expanding my vocabulary related to the course topics, practicing writing concise and precise sentences, and incorporating feedback from peers and instructors on my language use. Additionally, I will set a specific word limit for each written assignment to ensure that I am not using unnecessary filler words and that my language is focused and strategic. I will track my progress by comparing my language use in the initial course assignments to the language use in the final assignments to see improvements."
Voice volume,"Learning Objective: My goal is to effectively use my voice volume during my presentation to ensure that everyone can hear me clearly and engage with my content. I will achieve this by adjusting my voice volume based on the size of the audience, practicing projecting my voice during practice sessions, and asking for feedback from peers on the clarity of my voice.

Action Plan: 
1. I will research techniques for adjusting voice volume based on the size of the audience.
2. During practice sessions, I will consciously focus on projecting my voice to the back of the room.
3. I will record myself during practice presentations and evaluate the clarity of my voice.
4. I will ask for feedback from peers on the effectiveness of my voice volume in engaging the audience.
5. I will make adjustments to my voice volume based on feedback received to improve clarity and engagement levels."
Hand gestures,"Learning objective: ""My goal is to effectively utilize hand gestures to enhance my presentation and emphasize key points during my video pitch and literature presentation.""
Action plan: ""I will achieve this by practicing different hand gestures that align with the content of my presentation. I will record myself using these gestures during rehearsal presentations and review the recordings to ensure that the gestures are enhancing my message. Additionally, I will ask for feedback from peers on the effectiveness of the hand gestures in conveying the information. By the end of the 4-week project, I aim to confidently and appropriately use hand gestures to support my spoken message in both the video pitch and literature presentation."""
Clarity in communication,"Learning objective: My goal is to enhance my clarity in communication by effectively explaining complex concepts and ideas in a simple and understandable way, while also using signal and reference words to engage the audience in the story during presentations.

Action plan: I will achieve this by first breaking down complex concepts into simple terms and practicing explaining them to myself or a study group. I will also research and identify signal and reference words that help in guiding the audience through the story. During presentations, I will focus on using these words effectively to keep the audience engaged. To track my progress, I will ask for feedback from peers and instructors after each presentation to see if my communication has improved in terms of clarity and engagement."
Structure of the presentation,"Learning objective: ""My goal is to improve the structure of my presentations by ensuring a clear introduction, coherent middle, and impactful conclusion, with evident connections between each part.""

Action plan: I will achieve this by first outlining my presentations before I start creating slides. I will ensure that my introduction clearly states the purpose of my presentation, the middle includes key points with supporting evidence, and the conclusion summarizes the main takeaways. I will practice delivering my presentations to peers and ask for feedback on the clarity of the structure. I will aim to have a well-structured presentation for my upcoming project deadline in 3 weeks, incorporating feedback and adjusting as needed."
Structure of the presentation,"Learning objective: My goal is to improve the structure of my presentations by ensuring a clear introduction, middle, and conclusion with smooth transitions between different parts.

Action plan: I will achieve this by first outlining my presentation with key points for each section. I will practice delivering my presentation multiple times, paying special attention to the flow and logical progression of ideas. Additionally, I will seek feedback from peers or instructors on the clarity and coherence of my presentation structure. Through this process, I will ensure that my presentations are well-structured and engaging for the audience."
