ID,specific,measurable,action_oriented,relevant,time_bound
1,8,7,8,8,8
2,8,9,8,8,9
3,8,7,8,8,7
4,8,7,8,8,7
5,9,8,8,8,8
6,8,8,9,8,9
7,8,9,8,9,9
8,8,7,6,7,8
9,8,7,9,8,9
10,9,8,9,9,9
11,8,8,7,9,8
12,8,9,9,9,9
13,8,7,9,9,8
14,9,8,8,9,9
15,8,7,8,8,8
16,8,8,7,8,9
17,8,8,8,7,8
18,8,7,9,8,7
19,8,8,7,8,9
20,9,8,9,8,8
21,9,8,8,9,8
22,8,7,9,8,8
23,7,6,5,8,7
24,8,7,8,9,8
25,7,6,6,7,5
26,8,7,8,8,8
27,8,7,9,8,8
28,8,6,7,8,7
29,8,7,8,9,8
30,8,8,7,9,7
31,8,7,8,9,8
32,8,6,8,7,7
33,8,8,9,8,9
34,8,7,8,9,7
35,8,8,7,9,7
36,8,7,8,8,8
37,7,8,8,6,8
38,8,7,9,9,8
39,8,8,7,7,7
40,8,7,9,8,8
41,8,7,8,8,7
42,2,2,3,2,3
43,8,8,9,9,8
44,7,8,8,7,7
45,8,7,8,9,6
46,7,8,8,7,8
47,8,8,7,9,8
48,8,7,8,9,8
49,8,6,9,8,6
50,8,7,6,8,7
